"SampleName","smokingscore_EM","smokingscore_ZM","logCoeff_CS","logCoeff_FS","logCoeff_NS","PredictedSmokingStatus","probs_CS","probs_FS","probs_NS","PredictedSmokingStatus2"
"GSM1051945_5730504060_R03C02","8.36","-2.92","1.42","0.60","-2.02","Current Smoker","0.68","0.30","0.02","Current Smoker"
"GSM1051946_5730504060_R04C02","-1.71","-8.35","-0.40","-0.45","0.84","Never Smoker","0.19","0.18","0.64","Never Smoker"
"GSM1051947_5730504060_R05C02","4.67","-6.60","0.78","-0.15","-0.64","Current Smoker","0.61","0.24","0.15","Current Smoker"
"GSM1051948_5730504060_R06C02","-1.44","-10.08","-0.90","-0.35","1.24","Never Smoker","0.09","0.15","0.76","Never Smoker"
"GSM1051949_5765205058_R01C01","-1.27","-8.85","-1.22","-0.32","1.55","Never Smoker","0.05","0.13","0.82","Never Smoker"
"GSM1051950_5765205058_R02C01","2.84","-7.88","-0.63","-0.02","0.65","Never Smoker","0.16","0.29","0.56","Never Smoker"
"GSM1051951_5765205058_R04C01","-1.39","-7.21","-0.81","0.57","0.24","Former Smoker","0.13","0.51","0.37","Former Smoker"
"GSM1051952_5765205058_R05C01","-5.16","-10.30","-1.72","0.38","1.34","Never Smoker","0.03","0.27","0.70","Never Smoker"
"GSM1051953_5765205058_R06C01","-0.35","-9.13","-0.83","-0.20","1.03","Never Smoker","0.11","0.20","0.69","Never Smoker"
"GSM1051954_5765205058_R01C02","12.54","-3.09","2.28","-0.11","-2.17","Current Smoker","0.91","0.08","0.01","Current Smoker"
"GSM1051955_5765205058_R02C02","-0.70","-9.01","-1.63","0.26","1.37","Never Smoker","0.04","0.24","0.72","Never Smoker"
"GSM1051956_5765205058_R03C02","3.23","-4.52","1.24","-0.58","-0.66","Current Smoker","0.76","0.12","0.11","Current Smoker"
"GSM1051957_5765205058_R05C02","6.19","-5.55","-0.17","-0.25","0.42","Never Smoker","0.27","0.25","0.48","Never Smoker"
"GSM1051958_5765205058_R06C02","13.04","-2.32","2.38","-0.60","-1.77","Current Smoker","0.94","0.05","0.01","Current Smoker"
"GSM1051959_5765205059_R02C01","12.83","-3.30","2.07","-0.04","-2.03","Current Smoker","0.88","0.11","0.01","Current Smoker"
"GSM1051960_5765205059_R03C01","-3.23","-8.76","-1.39","-0.25","1.65","Never Smoker","0.04","0.12","0.84","Never Smoker"
"GSM1051961_5765205059_R04C01","0.25","-9.56","-0.75","-0.55","1.30","Never Smoker","0.10","0.12","0.78","Never Smoker"
"GSM1051962_5765205059_R05C01","15.09","-2.06","2.46","-0.58","-1.88","Current Smoker","0.94","0.05","0.01","Current Smoker"
"GSM1051963_5765205059_R06C01","12.63","-6.35","0.42","-0.09","-0.33","Current Smoker","0.48","0.29","0.23","Current Smoker"
"GSM1051964_5765205059_R01C02","3.99","-6.61","-0.51","-0.34","0.85","Never Smoker","0.16","0.19","0.64","Never Smoker"
"GSM1051965_5765205059_R02C02","-4.39","-8.62","-1.21","-0.74","1.96","Never Smoker","0.04","0.06","0.90","Never Smoker"
"GSM1051966_5765205059_R04C02","-0.11","-8.31","-0.69","-0.78","1.48","Never Smoker","0.09","0.09","0.82","Never Smoker"
"GSM1051967_5765205059_R05C02","5.03","-5.71","-0.04","-0.02","0.05","Never Smoker","0.32","0.33","0.35","Never Smoker"
"GSM1051968_5765205059_R06C02","1.18","-7.22","0.45","-0.46","0.01","Current Smoker","0.49","0.20","0.31","Current Smoker"
"GSM1051969_5771710004_R02C01","-3.37","-10.30","-1.81","0.33","1.49","Never Smoker","0.03","0.23","0.74","Never Smoker"
"GSM1051970_5771710004_R03C01","0.83","-6.03","-0.27","-0.13","0.40","Never Smoker","0.24","0.28","0.48","Never Smoker"
"GSM1051971_5771710004_R05C01","-1.23","-9.37","-1.66","0.38","1.27","Never Smoker","0.04","0.28","0.68","Never Smoker"
"GSM1051972_5771710004_R06C01","0.89","-8.13","-0.74","0.32","0.42","Never Smoker","0.14","0.41","0.45","Never Smoker"
"GSM1051973_5771710004_R02C02","11.17","-4.21","1.62","-0.06","-1.56","Current Smoker","0.81","0.15","0.03","Current Smoker"
"GSM1051974_5771710004_R06C02","-0.45","-8.42","-0.26","-0.19","0.45","Never Smoker","0.24","0.26","0.49","Never Smoker"
"GSM1051975_5771710029_R01C01","-4.77","-8.99","-1.42","0.10","1.32","Never Smoker","0.05","0.22","0.74","Never Smoker"
"GSM1051976_5771710029_R02C01","1.19","-8.91","-0.51","0.13","0.38","Never Smoker","0.19","0.36","0.46","Never Smoker"
"GSM1051977_5771710029_R04C01","6.14","-5.41","0.68","-0.32","-0.36","Current Smoker","0.58","0.21","0.20","Current Smoker"
"GSM1051978_5771710029_R05C01","7.66","-2.83","2.67","-1.02","-1.65","Current Smoker","0.96","0.02","0.01","Current Smoker"
"GSM1051979_5771710029_R03C02","-2.64","-9.36","-0.85","0.27","0.58","Never Smoker","0.12","0.37","0.51","Never Smoker"
"GSM1051980_5771710029_R05C02","-1.98","-8.85","-1.41","-0.33","1.74","Never Smoker","0.04","0.11","0.86","Never Smoker"
"GSM1051981_5771710029_R06C02","9.49","-3.98","1.42","-0.61","-0.81","Current Smoker","0.81","0.11","0.09","Current Smoker"
"GSM1051982_5771710030_R01C01","-2.21","-8.84","-1.24","-0.51","1.76","Never Smoker","0.04","0.09","0.87","Never Smoker"
"GSM1051983_5771710030_R03C01","-5.07","-8.74","-1.62","0.51","1.11","Never Smoker","0.04","0.34","0.62","Never Smoker"
"GSM1051984_5771710030_R04C01","19.15","-2.52","2.64","-0.17","-2.47","Current Smoker","0.94","0.06","0.01","Current Smoker"
"GSM1051985_5771710030_R05C01","-2.76","-9.42","-1.14","-0.40","1.54","Never Smoker","0.06","0.12","0.83","Never Smoker"
"GSM1051986_5771710030_R06C01","3.78","-7.21","-0.36","0.31","0.05","Former Smoker","0.22","0.44","0.34","Former Smoker"
"GSM1051987_5771710030_R01C02","7.69","-5.20","0.50","-0.45","-0.05","Current Smoker","0.51","0.20","0.29","Current Smoker"
"GSM1051988_5771710030_R02C02","4.07","-7.22","0.48","-0.72","0.24","Current Smoker","0.48","0.14","0.38","Current Smoker"
"GSM1051989_5771710030_R03C02","15.02","-0.51","3.89","-0.54","-3.34","Current Smoker","0.99","0.01","0.00","Current Smoker"
"GSM1051990_5771710030_R04C02","7.80","-4.31","1.18","-0.55","-0.63","Current Smoker","0.75","0.13","0.12","Current Smoker"
"GSM1051991_5771710030_R06C02","-1.83","-10.10","-1.15","0.12","1.02","Never Smoker","0.08","0.27","0.66","Never Smoker"
"GSM1051992_5771710048_R02C01","-2.08","-9.47","-1.28","0.35","0.93","Never Smoker","0.07","0.34","0.60","Never Smoker"
"GSM1051993_5771710048_R04C01","0.14","-9.32","-0.79","-0.38","1.17","Never Smoker","0.10","0.16","0.74","Never Smoker"
"GSM1051994_5771710048_R05C01","4.25","-4.22","0.48","-0.50","0.02","Current Smoker","0.50","0.19","0.31","Current Smoker"
"GSM1051995_5771710048_R06C01","-1.18","-10.01","-0.93","-0.69","1.63","Never Smoker","0.07","0.08","0.85","Never Smoker"
"GSM1051996_5771710048_R05C02","-4.59","-9.01","-1.07","-0.27","1.34","Never Smoker","0.07","0.16","0.77","Never Smoker"
"GSM1051997_5771710048_R06C02","-0.50","-8.96","-1.07","-0.76","1.83","Never Smoker","0.05","0.07","0.89","Never Smoker"
"GSM1051998_5771710058_R01C01","-6.41","-9.07","-1.79","0.12","1.67","Never Smoker","0.03","0.17","0.81","Never Smoker"
"GSM1051999_5771710058_R02C01","-1.63","-10.17","-0.64","-0.51","1.15","Never Smoker","0.12","0.14","0.74","Never Smoker"
"GSM1052000_5771710058_R04C01","-1.19","-9.33","-1.30","-0.46","1.76","Never Smoker","0.04","0.09","0.87","Never Smoker"
"GSM1052001_5771710058_R05C01","11.87","-4.59","1.19","-0.24","-0.95","Current Smoker","0.74","0.18","0.09","Current Smoker"
"GSM1052002_5771710058_R05C02","1.19","-4.92","-0.09","-0.28","0.37","Never Smoker","0.29","0.24","0.47","Never Smoker"
"GSM1052003_5771710058_R06C02","12.39","-1.56","3.25","-0.47","-2.78","Current Smoker","0.97","0.02","0.00","Current Smoker"
"GSM1052004_5771710059_R02C01","-1.40","-9.74","-0.87","-0.83","1.70","Never Smoker","0.07","0.07","0.86","Never Smoker"
"GSM1052005_5771710059_R03C01","-5.08","-8.88","-1.86","0.54","1.32","Never Smoker","0.03","0.31","0.67","Never Smoker"
"GSM1052006_5771710059_R05C01","-2.22","-6.97","-0.92","0.50","0.42","Former Smoker","0.11","0.46","0.43","Former Smoker"
"GSM1052007_5771710059_R01C02","4.18","-5.07","0.11","0.00","-0.11","Current Smoker","0.37","0.33","0.30","Current Smoker"
"GSM1052008_5771710059_R02C02","0.06","-9.06","-0.89","-0.15","1.05","Never Smoker","0.10","0.21","0.69","Never Smoker"
"GSM1052009_5771710059_R05C02","-0.88","-8.47","-1.52","-0.04","1.56","Never Smoker","0.04","0.16","0.80","Never Smoker"
"GSM1052010_5771710059_R06C02","6.57","-6.24","1.18","-0.86","-0.32","Current Smoker","0.74","0.10","0.17","Current Smoker"
"GSM1052011_5730053006_R03C01","-0.31","-7.88","-0.63","-0.63","1.26","Never Smoker","0.12","0.12","0.77","Never Smoker"
"GSM1052012_5730053006_R06C01","8.32","-2.95","1.51","-0.46","-1.05","Current Smoker","0.82","0.11","0.06","Current Smoker"
"GSM1052013_5730053006_R01C02","-1.19","-9.49","-0.56","-0.77","1.34","Never Smoker","0.12","0.10","0.79","Never Smoker"
"GSM1052014_5730053006_R02C02","-0.43","-10.10","-0.93","-0.47","1.41","Never Smoker","0.08","0.12","0.80","Never Smoker"
"GSM1052015_5730053006_R03C02","-4.23","-8.82","-1.05","0.34","0.71","Never Smoker","0.09","0.37","0.54","Never Smoker"
"GSM1052016_5730053006_R04C02","2.51","-4.92","0.63","-0.04","-0.59","Current Smoker","0.55","0.28","0.16","Current Smoker"
"GSM1052017_5730053006_R05C02","-0.78","-8.37","-0.41","-0.19","0.60","Never Smoker","0.20","0.25","0.55","Never Smoker"
"GSM1052018_5730053006_R06C02","-0.79","-10.04","-0.99","-0.22","1.20","Never Smoker","0.08","0.18","0.74","Never Smoker"
"GSM1052019_5730053010_R01C01","2.09","-5.75","0.02","-0.52","0.51","Never Smoker","0.31","0.18","0.51","Never Smoker"
"GSM1052020_5730053010_R02C01","2.58","-6.05","0.58","-0.42","-0.16","Current Smoker","0.54","0.20","0.26","Current Smoker"
"GSM1052021_5730053010_R03C01","9.26","-4.07","1.65","-0.41","-1.24","Current Smoker","0.84","0.11","0.05","Current Smoker"
"GSM1052022_5730053010_R04C01","-2.89","-9.95","-0.38","-0.93","1.32","Never Smoker","0.14","0.08","0.78","Never Smoker"
"GSM1052023_5730053010_R06C01","-1.00","-9.75","-1.45","-0.40","1.85","Never Smoker","0.03","0.09","0.87","Never Smoker"
"GSM1052024_5730053010_R01C02","-1.33","-9.62","-0.60","-0.70","1.31","Never Smoker","0.12","0.10","0.78","Never Smoker"
"GSM1052025_5730053010_R02C02","0.22","-9.67","-1.28","0.13","1.15","Never Smoker","0.06","0.25","0.69","Never Smoker"
"GSM1052026_5730053010_R05C02","11.49","-0.87","2.87","-0.33","-2.55","Current Smoker","0.96","0.04","0.00","Current Smoker"
"GSM1052027_5730053010_R06C02","4.91","-4.81","1.05","0.03","-1.08","Current Smoker","0.68","0.24","0.08","Current Smoker"
"GSM1052028_5730053011_R01C01","5.82","-6.88","0.15","-0.10","-0.05","Current Smoker","0.38","0.30","0.32","Current Smoker"
"GSM1052029_5730053011_R02C01","-1.15","-6.86","0.21","-0.41","0.20","Current Smoker","0.40","0.21","0.39","Current Smoker"
"GSM1052030_5730053011_R04C01","2.83","-6.92","-0.33","-0.50","0.83","Never Smoker","0.20","0.17","0.63","Never Smoker"
"GSM1052031_5730053011_R05C01","8.12","-3.41","1.98","-0.14","-1.84","Current Smoker","0.88","0.10","0.02","Current Smoker"
"GSM1052032_5730053011_R06C01","6.71","-4.82","1.45","-0.52","-0.93","Current Smoker","0.81","0.11","0.08","Current Smoker"
"GSM1052033_5730053011_R01C02","-2.67","-8.62","-0.46","-0.49","0.96","Never Smoker","0.16","0.16","0.68","Never Smoker"
"GSM1052034_5730053011_R03C02","1.67","-7.86","-0.39","-0.15","0.54","Never Smoker","0.21","0.27","0.53","Never Smoker"
"GSM1052035_5730053011_R04C02","-1.56","-9.20","-0.46","-0.76","1.22","Never Smoker","0.14","0.10","0.76","Never Smoker"
"GSM1052036_5730053011_R05C02","-3.48","-9.65","-1.33","-0.47","1.80","Never Smoker","0.04","0.09","0.87","Never Smoker"
"GSM1052037_5730053011_R06C02","-1.32","-8.45","-0.58","-0.14","0.72","Never Smoker","0.16","0.25","0.59","Never Smoker"
"GSM1052038_5730053027_R01C01","4.01","-8.01","-0.05","-0.50","0.55","Never Smoker","0.29","0.18","0.53","Never Smoker"
"GSM1052039_5730053027_R02C01","-3.34","-8.86","-1.00","-0.03","1.03","Never Smoker","0.09","0.24","0.68","Never Smoker"
"GSM1052040_5730053027_R03C01","-0.01","-9.58","-0.54","-0.92","1.45","Never Smoker","0.11","0.08","0.81","Never Smoker"
"GSM1052041_5730053027_R04C01","3.50","-4.23","-0.07","0.19","-0.12","Former Smoker","0.31","0.40","0.29","Former Smoker"
"GSM1052042_5730053027_R05C01","9.45","-3.07","2.23","-0.62","-1.61","Current Smoker","0.93","0.05","0.02","Current Smoker"
"GSM1052043_5730053027_R01C02","-0.64","-7.78","-1.01","-0.05","1.05","Never Smoker","0.09","0.23","0.69","Never Smoker"
"GSM1052044_5730053027_R02C02","-1.84","-7.97","0.36","-0.85","0.48","Never Smoker","0.41","0.12","0.46","Never Smoker"
"GSM1052045_5730053027_R05C02","6.03","-5.15","0.87","-0.08","-0.80","Current Smoker","0.63","0.25","0.12","Current Smoker"
"GSM1052046_5730053027_R06C02","0.52","-6.66","0.41","0.09","-0.50","Current Smoker","0.47","0.34","0.19","Current Smoker"
"GSM1052047_5730053037_R01C01","-1.16","-8.22","-1.17","0.15","1.02","Never Smoker","0.07","0.27","0.65","Never Smoker"
"GSM1052048_5730053037_R04C01","-4.55","-8.89","-1.16","-0.11","1.27","Never Smoker","0.07","0.19","0.75","Never Smoker"
"GSM1052049_5730053037_R06C01","0.81","-7.87","-0.78","0.78","0.00","Former Smoker","0.13","0.60","0.28","Former Smoker"
"GSM1052050_5730053037_R01C02","-0.63","-7.51","-0.34","-0.91","1.26","Never Smoker","0.15","0.09","0.76","Never Smoker"
"GSM1052051_5730053037_R02C02","2.34","-7.24","-0.72","-0.19","0.91","Never Smoker","0.13","0.22","0.65","Never Smoker"
"GSM1052052_5730053037_R03C02","6.14","-6.13","0.06","0.23","-0.29","Former Smoker","0.34","0.41","0.24","Former Smoker"
"GSM1052053_5730053037_R04C02","0.72","-7.63","-0.68","-0.38","1.07","Never Smoker","0.12","0.17","0.71","Never Smoker"
"GSM1052054_5730053037_R05C02","10.53","-4.14","1.26","-0.09","-1.17","Current Smoker","0.74","0.19","0.06","Current Smoker"
"GSM1052055_5730053038_R01C01","-1.94","-8.36","-0.34","-0.23","0.57","Never Smoker","0.22","0.24","0.54","Never Smoker"
"GSM1052056_5730053038_R02C01","-2.19","-8.97","-0.88","-0.76","1.64","Never Smoker","0.07","0.08","0.85","Never Smoker"
"GSM1052057_5730053038_R04C01","11.18","-2.34","1.58","0.60","-2.17","Current Smoker","0.72","0.27","0.02","Current Smoker"
"GSM1052058_5730053038_R05C01","0.66","-6.32","1.50","-0.76","-0.74","Current Smoker","0.83","0.09","0.09","Current Smoker"
"GSM1052059_5730053038_R01C02","12.82","-2.80","2.75","-0.42","-2.32","Current Smoker","0.95","0.04","0.01","Current Smoker"
"GSM1052060_5730053038_R03C02","11.42","-2.84","2.23","-0.41","-1.82","Current Smoker","0.92","0.07","0.02","Current Smoker"
"GSM1052061_5730053038_R05C02","-5.77","-10.08","-1.15","-0.43","1.58","Never Smoker","0.05","0.11","0.83","Never Smoker"
"GSM1052062_5730053038_R06C02","1.43","-9.65","-0.80","-0.74","1.54","Never Smoker","0.08","0.09","0.83","Never Smoker"
"GSM1052063_5730053047_R01C01","11.92","-0.36","2.03","0.00","-2.03","Current Smoker","0.87","0.11","0.01","Current Smoker"
"GSM1052064_5730053047_R02C01","-1.10","-9.05","-0.94","-0.21","1.15","Never Smoker","0.09","0.19","0.72","Never Smoker"
"GSM1052065_5730053047_R05C01","0.38","-7.62","-0.36","-0.04","0.41","Never Smoker","0.22","0.30","0.48","Never Smoker"
"GSM1052066_5730053047_R06C01","0.66","-7.78","-0.79","0.08","0.72","Never Smoker","0.13","0.30","0.57","Never Smoker"
"GSM1052067_5730053047_R01C02","1.53","-6.16","0.66","-0.53","-0.13","Current Smoker","0.57","0.17","0.26","Current Smoker"
"GSM1052068_5730053047_R02C02","4.50","-6.13","0.06","0.20","-0.26","Former Smoker","0.35","0.40","0.25","Former Smoker"
"GSM1052069_5730053047_R04C02","1.02","-8.30","-0.60","-0.05","0.65","Never Smoker","0.16","0.28","0.56","Never Smoker"
"GSM1052070_5730053047_R05C02","9.27","-3.36","2.47","-1.12","-1.35","Current Smoker","0.95","0.03","0.02","Current Smoker"
"GSM1052071_5730053055_R01C01","7.57","-0.61","2.81","-1.07","-1.74","Current Smoker","0.97","0.02","0.01","Current Smoker"
"GSM1052072_5730053055_R04C01","8.27","-4.71","0.98","0.21","-1.19","Current Smoker","0.63","0.29","0.07","Current Smoker"
"GSM1052073_5730053055_R02C02","-5.08","-9.32","-0.35","-1.15","1.49","Never Smoker","0.13","0.06","0.81","Never Smoker"
"GSM1052074_5730053055_R03C02","10.59","-0.45","2.99","-0.74","-2.24","Current Smoker","0.97","0.02","0.01","Current Smoker"
"GSM1052075_5730053055_R04C02","-1.59","-10.05","-0.55","-0.88","1.43","Never Smoker","0.11","0.08","0.81","Never Smoker"
"GSM1052076_5730053055_R05C02","-1.25","-8.33","-1.13","-0.13","1.27","Never Smoker","0.07","0.18","0.75","Never Smoker"
"GSM1052077_5730192007_R01C01","9.25","-4.09","2.25","-1.15","-1.10","Current Smoker","0.94","0.03","0.03","Current Smoker"
"GSM1052078_5730192007_R02C01","-0.55","-8.54","-1.17","0.06","1.11","Never Smoker","0.07","0.24","0.69","Never Smoker"
"GSM1052079_5730192007_R04C01","-4.81","-8.84","-1.26","-0.11","1.37","Never Smoker","0.06","0.17","0.77","Never Smoker"
"GSM1052080_5730192007_R06C01","13.11","-2.34","2.48","-0.12","-2.36","Current Smoker","0.92","0.07","0.01","Current Smoker"
"GSM1052081_5730192007_R01C02","-0.42","-8.51","-1.00","-0.15","1.14","Never Smoker","0.08","0.20","0.72","Never Smoker"
"GSM1052082_5730192007_R02C02","7.07","-6.10","0.55","0.41","-0.96","Current Smoker","0.48","0.42","0.11","Current Smoker"
"GSM1052083_5730192007_R04C02","4.67","-4.04","0.77","0.16","-0.93","Current Smoker","0.58","0.32","0.11","Current Smoker"
"GSM1052084_5730192034_R01C01","-1.33","-7.40","-0.94","0.12","0.82","Never Smoker","0.10","0.30","0.60","Never Smoker"
"GSM1052085_5730192034_R03C01","-4.05","-7.15","-0.85","-0.15","1.00","Never Smoker","0.11","0.21","0.68","Never Smoker"
"GSM1052086_5730192034_R04C01","15.87","-1.83","2.59","-0.23","-2.36","Current Smoker","0.94","0.06","0.01","Current Smoker"
"GSM1052087_5730192034_R05C01","15.77","-2.84","2.05","-0.22","-1.82","Current Smoker","0.89","0.09","0.02","Current Smoker"
"GSM1052088_5730192034_R02C02","0.58","-8.24","-0.79","-0.12","0.92","Never Smoker","0.12","0.23","0.65","Never Smoker"
"GSM1052089_5730192034_R04C02","-2.00","-8.70","-0.95","-0.28","1.23","Never Smoker","0.08","0.17","0.75","Never Smoker"
"GSM1052090_5730192034_R05C02","3.55","-4.09","0.64","-0.03","-0.61","Current Smoker","0.56","0.28","0.16","Current Smoker"
"GSM1052091_5730192034_R06C02","3.15","-6.82","0.44","-0.16","-0.28","Current Smoker","0.49","0.27","0.24","Current Smoker"
"GSM1052092_5730192035_R01C01","0.72","-8.49","-1.26","0.57","0.69","Never Smoker","0.07","0.44","0.49","Never Smoker"
"GSM1052093_5730192035_R03C01","9.40","-4.22","1.96","-0.01","-1.95","Current Smoker","0.86","0.12","0.02","Current Smoker"
"GSM1052094_5730192035_R06C01","3.92","-5.30","-0.12","0.42","-0.29","Former Smoker","0.28","0.48","0.24","Former Smoker"
"GSM1052095_5730192035_R03C02","-0.08","-6.45","-0.54","0.02","0.52","Never Smoker","0.18","0.31","0.51","Never Smoker"
"GSM1052096_5730192035_R05C02","6.14","-3.88","1.63","-0.13","-1.50","Current Smoker","0.82","0.14","0.04","Current Smoker"
"GSM1052097_5730192035_R06C02","-0.92","-7.60","-1.52","0.33","1.20","Never Smoker","0.04","0.28","0.67","Never Smoker"
"GSM1052098_5730192036_R01C01","-0.55","-5.57","-0.52","0.05","0.47","Never Smoker","0.18","0.32","0.49","Never Smoker"
"GSM1052099_5730192036_R05C01","1.82","-6.46","-0.69","0.29","0.40","Never Smoker","0.15","0.40","0.45","Never Smoker"
"GSM1052100_5730192036_R06C01","-2.32","-9.42","-1.21","-0.04","1.25","Never Smoker","0.06","0.20","0.74","Never Smoker"
"GSM1052101_5730192036_R01C02","0.85","-9.01","-1.42","0.34","1.08","Never Smoker","0.05","0.31","0.64","Never Smoker"
"GSM1052102_5730192036_R02C02","-1.60","-9.44","-1.72","0.57","1.14","Never Smoker","0.04","0.35","0.62","Never Smoker"
"GSM1052103_5730192036_R03C02","4.27","-4.27","0.42","-0.13","-0.29","Current Smoker","0.49","0.28","0.24","Current Smoker"
"GSM1052104_5730192036_R04C02","2.48","-7.77","-0.86","0.22","0.65","Never Smoker","0.12","0.35","0.53","Never Smoker"
"GSM1052105_5730192042_R03C01","-1.66","-8.86","-0.57","-0.12","0.69","Never Smoker","0.16","0.26","0.58","Never Smoker"
"GSM1052106_5730192042_R04C01","-0.40","-7.17","-0.17","0.14","0.03","Former Smoker","0.28","0.38","0.34","Former Smoker"
"GSM1052107_5730192042_R05C01","-2.40","-8.13","-0.98","-0.14","1.12","Never Smoker","0.09","0.20","0.71","Never Smoker"
"GSM1052108_5730192042_R01C02","12.94","-1.90","2.87","-0.35","-2.52","Current Smoker","0.96","0.04","0.00","Current Smoker"
"GSM1052109_5730192042_R02C02","5.52","-4.18","0.60","0.36","-0.96","Current Smoker","0.50","0.40","0.10","Current Smoker"
"GSM1052110_5730192042_R03C02","3.11","-3.70","0.93","0.25","-1.18","Current Smoker","0.62","0.31","0.07","Current Smoker"
"GSM1052111_5730192042_R04C02","4.62","-3.55","1.47","-0.42","-1.05","Current Smoker","0.81","0.12","0.07","Current Smoker"
"GSM1052112_5730192042_R05C02","6.63","-3.22","1.19","-0.55","-0.64","Current Smoker","0.75","0.13","0.12","Current Smoker"
"GSM1052113_5730192042_R06C02","-3.46","-6.34","-0.68","-0.39","1.07","Never Smoker","0.12","0.16","0.71","Never Smoker"
"GSM1052114_5730192045_R02C01","7.12","-2.31","3.25","-1.47","-1.78","Current Smoker","0.98","0.01","0.01","Current Smoker"
"GSM1052115_5730192045_R03C01","-4.19","-8.47","-1.19","-0.24","1.43","Never Smoker","0.06","0.15","0.79","Never Smoker"
"GSM1052116_5730192045_R05C01","4.71","-5.99","-0.11","0.58","-0.47","Former Smoker","0.27","0.54","0.19","Former Smoker"
"GSM1052117_5730192045_R01C02","3.99","-7.45","1.18","-1.06","-0.12","Current Smoker","0.72","0.08","0.20","Current Smoker"
"GSM1052118_5730192045_R02C02","-1.36","-7.84","-0.40","-0.47","0.87","Never Smoker","0.18","0.17","0.65","Never Smoker"
"GSM1052119_5730192045_R04C02","-5.09","-8.68","-1.03","-0.47","1.51","Never Smoker","0.06","0.11","0.82","Never Smoker"
"GSM1052120_5730192045_R05C02","10.56","-3.68","1.09","0.10","-1.19","Current Smoker","0.68","0.25","0.07","Current Smoker"
"GSM1052121_5730192045_R06C02","9.72","-3.34","1.93","-0.10","-1.83","Current Smoker","0.87","0.11","0.02","Current Smoker"
"GSM1052122_5730192048_R01C01","6.98","-6.75","0.34","-0.21","-0.13","Current Smoker","0.46","0.26","0.28","Current Smoker"
"GSM1052123_5730192048_R02C01","0.60","-10.70","-1.98","0.00","1.98","Never Smoker","0.02","0.12","0.86","Never Smoker"
"GSM1052124_5730192048_R03C01","-3.30","-9.07","-1.29","-0.29","1.58","Never Smoker","0.05","0.13","0.83","Never Smoker"
"GSM1052125_5730192048_R04C01","-0.95","-9.02","-0.55","-0.01","0.57","Never Smoker","0.17","0.30","0.53","Never Smoker"
"GSM1052126_5730192048_R05C01","3.82","-5.98","0.23","-0.66","0.43","Never Smoker","0.38","0.16","0.47","Never Smoker"
"GSM1052127_5730192048_R06C01","0.29","-8.66","-1.38","0.20","1.17","Never Smoker","0.05","0.26","0.69","Never Smoker"
"GSM1052128_5730192048_R01C02","14.80","-1.78","2.80","-0.31","-2.49","Current Smoker","0.95","0.04","0.00","Current Smoker"
"GSM1052129_5730192048_R02C02","-0.73","-9.30","-0.04","-0.52","0.56","Never Smoker","0.29","0.18","0.53","Never Smoker"
"GSM1052130_5730192048_R03C02","3.19","-8.28","-0.44","0.18","0.27","Never Smoker","0.20","0.38","0.42","Never Smoker"
"GSM1052131_5730192048_R04C02","-1.15","-8.66","-0.84","-0.65","1.49","Never Smoker","0.08","0.10","0.82","Never Smoker"
"GSM1052132_5730192048_R05C02","0.18","-8.90","-1.35","0.12","1.23","Never Smoker","0.05","0.23","0.71","Never Smoker"
"GSM1052133_5730192048_R06C02","1.35","-8.28","-0.82","0.17","0.65","Never Smoker","0.12","0.34","0.54","Never Smoker"
"GSM1052134_5730192057_R01C01","9.93","-3.31","2.30","-0.77","-1.53","Current Smoker","0.94","0.04","0.02","Current Smoker"
"GSM1052135_5730192057_R02C01","1.26","-7.90","-0.89","0.12","0.76","Never Smoker","0.11","0.31","0.58","Never Smoker"
"GSM1052136_5730192057_R03C01","10.62","-3.42","1.37","-0.35","-1.02","Current Smoker","0.79","0.14","0.07","Current Smoker"
"GSM1052137_5730192057_R04C01","-2.15","-9.09","-0.96","-0.08","1.04","Never Smoker","0.09","0.22","0.69","Never Smoker"
"GSM1052138_5730192057_R05C01","-7.43","-10.48","-1.28","-0.79","2.06","Never Smoker","0.03","0.05","0.91","Never Smoker"
"GSM1052139_5730192057_R06C01","2.45","-7.12","-0.71","0.15","0.56","Never Smoker","0.14","0.34","0.51","Never Smoker"
"GSM1052140_5730192057_R01C02","1.86","-7.25","0.00","-0.03","0.03","Never Smoker","0.33","0.32","0.35","Never Smoker"
"GSM1052141_5730192057_R03C02","0.80","-8.13","-0.90","0.20","0.70","Never Smoker","0.11","0.33","0.55","Never Smoker"
"GSM1052142_5730192057_R04C02","5.08","-5.70","-0.28","0.02","0.26","Never Smoker","0.24","0.33","0.42","Never Smoker"
"GSM1052143_5730192057_R05C02","2.12","-6.91","-0.36","0.19","0.17","Former Smoker","0.22","0.39","0.38","Former Smoker"
"GSM1052144_5730192057_R06C02","4.16","-7.45","0.51","-0.49","-0.02","Current Smoker","0.51","0.19","0.30","Current Smoker"
"GSM1052145_5730053009_R01C01","-1.91","-8.61","-1.24","0.25","0.99","Never Smoker","0.07","0.30","0.63","Never Smoker"
"GSM1052146_5730053009_R02C01","-1.22","-8.90","-0.36","-0.79","1.15","Never Smoker","0.16","0.10","0.73","Never Smoker"
"GSM1052147_5730053009_R03C01","-1.44","-8.80","-0.96","-0.20","1.16","Never Smoker","0.09","0.19","0.73","Never Smoker"
"GSM1052148_5730053009_R04C01","-1.11","-6.44","-0.43","-0.29","0.72","Never Smoker","0.19","0.22","0.60","Never Smoker"
