"SampleName","smokingscore_EM","smokingscore_ZM","logCoeff_CS","logCoeff_FS","logCoeff_NS","PredictedSmokingStatus","probs_CS","probs_FS","probs_NS","PredictedSmokingStatus2"
"GSM1051621_7796814016_R05C01","-3.54","-9.13","-1.92","0.23","1.69","Never Smoker","0.02","0.18","0.79","Never Smoker"
"GSM1051622_7796814016_R06C01","-2.43","-9.36","-0.76","-0.33","1.09","Never Smoker","0.11","0.17","0.72","Never Smoker"
"GSM1051623_7796814016_R01C02","-4.36","-8.95","-1.47","0.02","1.45","Never Smoker","0.04","0.19","0.77","Never Smoker"
"GSM1051624_7796814016_R02C02","8.90","-3.69","1.41","0.01","-1.41","Current Smoker","0.77","0.19","0.05","Current Smoker"
"GSM1051625_7796814016_R03C02","2.43","-6.64","-0.19","0.00","0.19","Never Smoker","0.27","0.33","0.40","Never Smoker"
"GSM1051626_7796814016_R04C02","-0.81","-9.20","-1.12","0.30","0.82","Never Smoker","0.08","0.34","0.57","Never Smoker"
"GSM1051627_7796814016_R05C02","5.76","-4.86","0.28","-0.16","-0.13","Current Smoker","0.43","0.28","0.29","Current Smoker"
"GSM1051628_7796814016_R06C02","4.06","-5.49","0.29","0.10","-0.39","Current Smoker","0.43","0.35","0.22","Current Smoker"
"GSM1051629_7800246006_R01C01","1.15","-6.60","-0.58","0.26","0.32","Never Smoker","0.17","0.40","0.42","Never Smoker"
"GSM1051630_7800246006_R02C01","16.12","-1.14","3.37","-0.32","-3.05","Current Smoker","0.97","0.02","0.00","Current Smoker"
"GSM1051631_7800246006_R03C01","-4.05","-8.66","-1.02","-0.42","1.43","Never Smoker","0.07","0.13","0.80","Never Smoker"
"GSM1051632_7800246006_R04C01","8.51","-5.71","0.94","-0.56","-0.38","Current Smoker","0.67","0.15","0.18","Current Smoker"
"GSM1051633_7800246006_R05C01","-1.77","-8.43","-0.74","0.12","0.62","Never Smoker","0.14","0.32","0.54","Never Smoker"
"GSM1051634_7800246006_R06C01","0.66","-8.01","-0.34","0.03","0.31","Never Smoker","0.23","0.33","0.44","Never Smoker"
"GSM1051635_7800246006_R01C02","6.31","-5.75","0.21","0.42","-0.64","Former Smoker","0.37","0.46","0.16","Former Smoker"
"GSM1051636_7800246006_R02C02","7.14","-3.97","1.38","-0.26","-1.12","Current Smoker","0.78","0.15","0.06","Current Smoker"
"GSM1051637_7800246006_R03C02","6.09","-7.47","0.06","-0.88","0.82","Never Smoker","0.29","0.11","0.60","Never Smoker"
"GSM1051638_7800246006_R04C02","-0.75","-7.86","-0.72","-0.11","0.83","Never Smoker","0.13","0.24","0.63","Never Smoker"
"GSM1051639_7800246006_R05C02","-5.79","-9.63","-1.41","-0.18","1.59","Never Smoker","0.04","0.14","0.82","Never Smoker"
"GSM1051640_7800246006_R06C02","-2.87","-8.65","-1.87","0.71","1.17","Never Smoker","0.03","0.38","0.60","Never Smoker"
"GSM1051641_7800246018_R01C01","3.93","-7.82","-0.81","0.28","0.53","Never Smoker","0.13","0.38","0.49","Never Smoker"
"GSM1051642_7800246018_R02C01","-2.50","-7.83","-0.56","0.04","0.52","Never Smoker","0.17","0.32","0.51","Never Smoker"
"GSM1051643_7800246018_R03C01","0.24","-7.90","-0.61","-0.12","0.73","Never Smoker","0.15","0.25","0.59","Never Smoker"
"GSM1051644_7800246018_R04C01","-0.76","-6.81","-0.48","-0.08","0.56","Never Smoker","0.19","0.28","0.53","Never Smoker"
"GSM1051645_7800246018_R05C01","14.78","-2.72","2.61","-0.04","-2.56","Current Smoker","0.93","0.07","0.01","Current Smoker"
"GSM1051646_7800246018_R06C01","15.83","-0.90","3.73","-0.54","-3.20","Current Smoker","0.99","0.01","0.00","Current Smoker"
"GSM1051647_7800246018_R01C02","-3.08","-8.66","-1.25","0.23","1.02","Never Smoker","0.07","0.29","0.64","Never Smoker"
"GSM1051648_7800246018_R02C02","9.81","-2.90","2.75","-0.60","-2.15","Current Smoker","0.96","0.03","0.01","Current Smoker"
"GSM1051649_7800246018_R03C02","-3.18","-9.63","-1.76","0.17","1.59","Never Smoker","0.03","0.19","0.78","Never Smoker"
"GSM1051650_7800246018_R04C02","3.42","-7.87","-0.93","0.08","0.84","Never Smoker","0.10","0.28","0.61","Never Smoker"
"GSM1051651_7800246018_R05C02","1.54","-9.17","-1.31","-0.10","1.40","Never Smoker","0.05","0.17","0.78","Never Smoker"
"GSM1051652_7800246018_R06C02","16.62","-3.31","1.98","0.02","-2.00","Current Smoker","0.86","0.12","0.02","Current Smoker"
"GSM1051653_7800246043_R01C01","3.70","-6.54","0.48","-0.17","-0.31","Current Smoker","0.51","0.26","0.23","Current Smoker"
"GSM1051654_7800246043_R02C01","8.58","-3.36","1.86","-0.21","-1.65","Current Smoker","0.86","0.11","0.03","Current Smoker"
"GSM1051655_7800246043_R03C01","8.59","-5.10","1.87","-0.31","-1.55","Current Smoker","0.87","0.10","0.03","Current Smoker"
"GSM1051656_7800246043_R05C01","3.18","-7.25","-0.47","0.20","0.27","Never Smoker","0.20","0.39","0.42","Never Smoker"
"GSM1051657_7800246043_R06C01","0.56","-8.72","-0.77","0.00","0.77","Never Smoker","0.13","0.28","0.60","Never Smoker"
"GSM1051658_7800246043_R01C02","-2.91","-10.03","-1.52","-0.32","1.84","Never Smoker","0.03","0.10","0.87","Never Smoker"
"GSM1051659_7800246043_R03C02","-0.15","-7.86","-0.42","0.02","0.40","Never Smoker","0.21","0.32","0.47","Never Smoker"
"GSM1051660_7800246043_R04C02","-2.02","-9.66","-1.16","-0.17","1.32","Never Smoker","0.06","0.17","0.76","Never Smoker"
"GSM1051661_7800246043_R05C02","-3.07","-8.32","-0.42","-0.08","0.51","Never Smoker","0.20","0.28","0.51","Never Smoker"
"GSM1051662_7800246043_R06C02","6.23","-3.04","0.22","0.44","-0.65","Former Smoker","0.38","0.47","0.16","Former Smoker"
"GSM1051663_7800246054_R01C01","-1.49","-8.32","-1.02","0.23","0.79","Never Smoker","0.09","0.33","0.58","Never Smoker"
"GSM1051664_7800246054_R02C01","10.57","-3.06","2.22","-0.20","-2.02","Current Smoker","0.91","0.08","0.01","Current Smoker"
"GSM1051665_7800246054_R03C01","0.05","-8.99","-0.28","-0.70","0.98","Never Smoker","0.19","0.13","0.68","Never Smoker"
"GSM1051666_7800246054_R04C01","0.34","-8.44","-0.83","-0.19","1.03","Never Smoker","0.11","0.20","0.69","Never Smoker"
"GSM1051667_7800246054_R05C01","4.23","-6.61","-0.34","-0.03","0.37","Never Smoker","0.23","0.31","0.46","Never Smoker"
"GSM1051668_7800246054_R06C01","2.17","-9.93","-0.28","-0.52","0.80","Never Smoker","0.21","0.17","0.62","Never Smoker"
"GSM1051669_7800246054_R01C02","1.88","-7.75","-1.45","0.68","0.77","Never Smoker","0.05","0.45","0.50","Never Smoker"
"GSM1051670_7800246054_R02C02","9.52","-5.33","1.02","-0.55","-0.47","Current Smoker","0.70","0.14","0.16","Current Smoker"
"GSM1051671_7800246054_R03C02","-1.60","-6.30","-0.87","0.06","0.81","Never Smoker","0.11","0.28","0.60","Never Smoker"
"GSM1051672_7800246054_R04C02","1.09","-7.84","-1.17","0.08","1.09","Never Smoker","0.07","0.25","0.68","Never Smoker"
"GSM1051673_7800246054_R05C02","-1.02","-6.50","-0.86","0.14","0.72","Never Smoker","0.12","0.32","0.57","Never Smoker"
"GSM1051674_7800246054_R06C02","-0.79","-7.33","-0.73","0.14","0.59","Never Smoker","0.14","0.33","0.53","Never Smoker"
"GSM1051675_7800246055_R01C01","7.56","-4.29","1.99","-0.16","-1.83","Current Smoker","0.88","0.10","0.02","Current Smoker"
"GSM1051676_7800246055_R02C01","-1.89","-9.47","-1.39","0.17","1.22","Never Smoker","0.05","0.25","0.70","Never Smoker"
"GSM1051677_7800246055_R03C01","0.95","-6.59","-0.73","0.98","-0.25","Former Smoker","0.12","0.68","0.20","Former Smoker"
"GSM1051678_7800246055_R04C01","9.10","-3.34","1.77","0.35","-2.12","Current Smoker","0.79","0.19","0.02","Current Smoker"
"GSM1051679_7800246055_R05C01","-1.77","-7.53","-0.90","-0.41","1.31","Never Smoker","0.09","0.14","0.78","Never Smoker"
"GSM1051680_7800246055_R06C01","-0.03","-7.96","-0.99","0.34","0.65","Never Smoker","0.10","0.38","0.52","Never Smoker"
"GSM1051681_7800246055_R01C02","2.49","-5.31","0.04","0.66","-0.69","Former Smoker","0.30","0.56","0.14","Former Smoker"
"GSM1051682_7800246055_R02C02","5.42","-5.32","0.57","-0.19","-0.37","Current Smoker","0.54","0.25","0.21","Current Smoker"
"GSM1051683_7800246055_R03C02","-2.52","-7.17","-0.42","-0.09","0.51","Never Smoker","0.20","0.28","0.51","Never Smoker"
"GSM1051684_7800246055_R04C02","-3.01","-7.00","-0.53","-0.14","0.67","Never Smoker","0.17","0.25","0.57","Never Smoker"
"GSM1051685_7800246055_R05C02","-6.25","-10.04","-1.78","0.28","1.50","Never Smoker","0.03","0.22","0.75","Never Smoker"
"GSM1051686_7800246055_R06C02","11.41","-3.70","2.43","-0.13","-2.29","Current Smoker","0.92","0.07","0.01","Current Smoker"
"GSM1051687_7800246071_R01C01","-1.61","-9.51","-1.29","0.71","0.57","Former Smoker","0.07","0.50","0.43","Former Smoker"
"GSM1051688_7800246071_R02C01","-0.34","-8.87","-1.29","0.10","1.19","Never Smoker","0.06","0.24","0.71","Never Smoker"
